x,y
1449.0,199.0
1429.0,205.0
1409.0,216.0
1389.0,226.0
1369.0,234.0
1349.0,243.0
1329.0,251.0
1309.0,260.0
1289.0,268.0
1269.0,277.0
1249.0,286.0
1209.0,302.0
1189.0,311.0
1169.0,320.0
1149.0,328.0
1129.0,337.0
1109.0,345.0
1089.0,354.0
1069.0,362.0
1049.0,371.0
1009.0,387.0
989.0,396.0
929.0,420.0
909.0,429.0
889.0,437.0
869.0,446.0
849.0,454.0
829.0,462.0
809.0,469.0
789.0,477.0
769.0,484.0
749.0,492.0
729.0,499.0
669.0,523.0
629.0,541.0
611.0,558.0
608.0,578.0
609.0,598.0
609.0,618.0
611.0,638.0
612.0,658.0
614.0,678.0
616.0,718.0
618.0,738.0
622.0,818.0
623.0,838.0
623.0,858.0
624.0,878.0
624.0,898.0
626.0,938.0
627.0,958.0
627.0,978.0
628.0,998.0
629.0,1018.0
629.0,1038.0
630.0,1058.0
630.0,1078.0
628.0,1098.0
629.0,1118.0
642.0,1131.0
662.0,1132.0
682.0,1131.0
702.0,1129.0
722.0,1126.0
742.0,1124.0
762.0,1124.0
782.0,1123.0
802.0,1123.0
822.0,1122.0
842.0,1122.0
862.0,1121.0
882.0,1120.0
902.0,1120.0
942.0,1118.0
962.0,1117.0
982.0,1117.0
1002.0,1116.0
1022.0,1115.0
1042.0,1115.0
1062.0,1114.0
1082.0,1113.0
1102.0,1113.0
1122.0,1112.0
1142.0,1112.0
1162.0,1111.0
1182.0,1110.0
1202.0,1110.0
1222.0,1109.0
1242.0,1109.0
1262.0,1108.0
1282.0,1108.0
1322.0,1106.0
1342.0,1105.0
1362.0,1105.0
1422.0,1102.0
1442.0,1100.0
1462.0,1091.0
1482.0,1077.0
1489.0,1058.0
1493.0,1038.0
1496.0,1018.0
1500.0,998.0
1505.0,978.0
1510.0,958.0
1526.0,918.0
1533.0,898.0
1538.0,878.0
1544.0,858.0
1546.0,838.0
1545.0,818.0
1545.0,798.0
1543.0,778.0
1543.0,758.0
1542.0,738.0
1542.0,718.0
1541.0,698.0
1541.0,678.0
1539.0,638.0
1538.0,618.0
1538.0,598.0
1536.0,578.0
1536.0,558.0
1530.0,438.0
1528.0,418.0
1527.0,398.0
1525.0,378.0
1524.0,358.0
1522.0,338.0
1521.0,318.0
1519.0,298.0
1510.0,278.0
1502.0,258.0
1484.0,218.0
1466.0,201.0
